14:25:01.134 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 27 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.134 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.134 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 28 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.134 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 29 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 30 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 31 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 32 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 33 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.135 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 34 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.135 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 35 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.136 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 36 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.136 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 37 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.136 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 38 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.136 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.136 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 39 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.136 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
